Metric;Mean;Std
MAE;10.93232213436518;0.2420323275539642
RMSE;16.534777121794427;0.4994874139817457
R2;0.9172265426430496;0.0048616087762881855
Spearman;0.9578788608986976;0.0024172007542307937
