feature;importance
Rank;21.12803724044252
Points (Total);21.128034889295154
Points_rolling_mean_4w;11.145109479690209
Rank_rolling_mean_4w;9.051583725842153
Rank_last_week;4.311806905188642
Points_last_week;2.2097751614222787
Speechiness;0.6599064502360843
Weeks_on_chart;0.4758276930004869
Valence;0.395962900891193
Artist_Hotness;0.310343678251597
Nationality_Count;0.22026757025752874
Acousticness;0.1439734323430473
Danceability;0.14238853803816334
Instrumentalness;0.12004793674024852
Rank_change;0.08083535827033618
Points_change;0.08083526982220339
Artist_Count;0.060214146893465464
Energy;0.01890170527537155
Loudness_Corrected;3.695012114373899e-05
