epoch,train,val
0,11.205769841893384,10.147581615660286
1,11.193810158964688,10.04353834396353
2,11.20055722346622,9.961511885937407
3,11.16764818883262,10.28688929754314
4,11.145296029613894,9.901010530583548
5,11.151545908353144,10.083068162599954
6,11.137022689223809,9.945987280245486
7,11.153498962663582,9.957724305514224
8,11.169282465063445,9.977886537724954
9,11.125082512582008,10.008536223020744
10,11.159777674637967,9.94296404820429
11,11.108410748394853,10.186019732303828
12,11.108391632138893,10.00834842806604
13,11.127035127629604,9.97140469998513
14,11.130928627362644,9.92807332266057
15,11.10926179136251,9.996417984997107
16,11.130170041374056,9.949331415585931
17,11.098647966071608,9.912096117349584
18,11.114793529786992,10.031650262742124
19,11.103671408234726,10.004501296497605
20,11.090712298442309,9.97443356719631
21,11.079791471736495,9.925830256107842
22,11.074207810298473,9.93768445718305
23,11.065253162518793,10.052775606576139
24,11.070141040732967,10.021192193469892
25,11.089463111507978,10.072125228101088
26,11.079305021354495,9.965217495967071
27,11.079546309068206,10.1350794076293
28,11.051562899033373,9.977135549540275
29,11.029778424216438,10.097385944703168
30,11.061496758230891,9.965855103450131
31,11.0900078463554,9.916242651261987
32,11.052004278362064,9.965972816507383
33,11.039134747376291,9.968213799969456
34,11.025304832726144,9.967122796448292
