Fold;MAE;RMSE;R2
1;7.092299270478119;12.19439142316682;0.9551121319658381
2;6.832886747214317;11.533428269468393;0.960008754672329
3;6.880287461492315;11.82457103820963;0.9578422292477624
4;7.949830804256112;13.577645969814693;0.9444643844369268
5;7.524252524418438;12.415773637475963;0.9535534899325374
Mean;7.25591136157186;12.309162067627103;0.9541961980510788
