fold;epoch;train_loss;val_loss
1;1;0.14135702496894698;0.14883845998662446
1;2;0.11479333108152942;0.14279496229340877
1;3;0.11003402475101944;0.14098812834235835
1;4;0.10719082737111378;0.13978499282390025
1;5;0.10533217739626839;0.13682071637050272
1;6;0.10357859193100372;0.13564536417719766
1;7;0.10221739946457954;0.134499552398186
1;8;0.10108995176790377;0.13510113352625241
1;9;0.10045535836669522;0.1317809720895267
1;10;0.09917002956227966;0.13215196672184715
1;11;0.09847085710608783;0.13232162369075667
1;12;0.09770391936700859;0.13125467900498747
1;13;0.09717923254879342;0.1313523682467456
1;14;0.0965367637243263;0.13059576832932498
1;15;0.09593019769810865;0.13031232032209195
1;16;0.09550470569749445;0.13040908198491694
1;17;0.09507153820878592;0.13092595089245312
1;18;0.09481289278857005;0.12877102576086086
1;19;0.09414673839040603;0.12998493628695681
1;20;0.09395389519693235;0.13148398275299025
1;21;0.09381736788585708;0.12934640300428046
1;22;0.09317407070289334;0.13152901415387397
1;23;0.09330240260852621;0.12966207053347173
1;24;0.09270343976785755;0.12935024978859083
1;25;0.09193266537255275;0.1289100042484664
1;26;0.09116255650925872;0.1300496180619806
1;27;0.09102440813227973;0.1288180433929407
1;28;0.09067849424564858;0.12896893066101767
1;29;0.09059726216721378;0.1298500157782597
1;30;0.09069596364161328;0.12848545405371437
1;31;0.0903491043843194;0.1291861983447386
1;32;0.09041189302918938;0.12955961309446784
1;33;0.09019526435427454;0.12906302664006872
1;34;0.08979501925666604;0.1300419766657752
1;35;0.08958662242998401;0.12931552930308388
1;36;0.08965439017389516;0.1291472340562367
1;37;0.08885413512305235;0.12884111944677795
1;38;0.08873296613134506;0.12927469166151703
1;39;0.08863678290408958;0.1289201639133868
1;40;0.0885600065981242;0.12970080280795768
1;41;0.08885081957479482;0.12943837268672553
1;42;0.08837559333767686;0.12964787113071957
1;43;0.08822524658660519;0.12928650862184063
1;44;0.0880540886270941;0.1295293879975092
1;45;0.08807204241513028;0.12890428199152934
1;46;0.0884300111754624;0.12946213997460057
1;47;0.0880669481082646;0.12943372240501083
1;48;0.08776023371154335;0.1294366818820608
1;49;0.08780206965138335;0.1290649200418019
1;50;0.08768681108129181;0.12890509170998493
1;51;0.08777142444984525;0.12937579892135312
1;52;0.0872452734882101;0.12921347026827887
1;53;0.0874084043063383;0.12941765344788875
1;54;0.08797158440805149;0.12903327081040503
1;55;0.0875874198236713;0.12927512393282553
2;1;0.14135702496894698;0.14883845998662446
2;2;0.11479333108152942;0.14279496229340877
2;3;0.11003402475101944;0.14098812834235835
2;4;0.10719082737111378;0.13978499282390025
2;5;0.10533217739626839;0.13682071637050272
2;6;0.10357859193100372;0.13564536417719766
2;7;0.10221739946457954;0.134499552398186
2;8;0.10108995176790377;0.13510113352625241
2;9;0.10045535836669522;0.1317809720895267
2;10;0.09917002956227966;0.13215196672184715
2;11;0.09847085710608783;0.13232162369075667
2;12;0.09770391936700859;0.13125467900498747
2;13;0.09717923254879342;0.1313523682467456
2;14;0.0965367637243263;0.13059576832932498
2;15;0.09593019769810865;0.13031232032209195
2;16;0.09550470569749445;0.13040908198491694
2;17;0.09507153820878592;0.13092595089245312
2;18;0.09481289278857005;0.12877102576086086
2;19;0.09414673839040603;0.12998493628695681
2;20;0.09395389519693235;0.13148398275299025
2;21;0.09381736788585708;0.12934640300428046
2;22;0.09317407070289334;0.13152901415387397
2;23;0.09330240260852621;0.12966207053347173
2;24;0.09270343976785755;0.12935024978859083
2;25;0.09193266537255275;0.1289100042484664
2;26;0.09116255650925872;0.1300496180619806
2;27;0.09102440813227973;0.1288180433929407
2;28;0.09067849424564858;0.12896893066101767
2;29;0.09059726216721378;0.1298500157782597
2;30;0.09069596364161328;0.12848545405371437
2;31;0.0903491043843194;0.1291861983447386
2;32;0.09041189302918938;0.12955961309446784
2;33;0.09019526435427454;0.12906302664006872
2;34;0.08979501925666604;0.1300419766657752
2;35;0.08958662242998401;0.12931552930308388
2;36;0.08965439017389516;0.1291472340562367
2;37;0.08885413512305235;0.12884111944677795
2;38;0.08873296613134506;0.12927469166151703
2;39;0.08863678290408958;0.1289201639133868
2;40;0.0885600065981242;0.12970080280795768
2;41;0.08885081957479482;0.12943837268672553
2;42;0.08837559333767686;0.12964787113071957
2;43;0.08822524658660519;0.12928650862184063
2;44;0.0880540886270941;0.1295293879975092
2;45;0.08807204241513028;0.12890428199152934
2;46;0.0884300111754624;0.12946213997460057
2;47;0.0880669481082646;0.12943372240501083
2;48;0.08776023371154335;0.1294366818820608
2;49;0.08780206965138335;0.1290649200418019
2;50;0.08768681108129181;0.12890509170998493
2;51;0.08777142444984525;0.12937579892135312
2;52;0.0872452734882101;0.12921347026827887
