Community_ID;n_samples;MAE_RQ1;MAE_RQ3;Mean_Improvement;t_stat;p_val;Significant;Improved
85.0;41;12.092587237773971;11.794760182108776;0.29782705566519496;1.1803037901709783;0.2448509847580745;—;↑
30.0;51;13.344151373268764;13.1144700836516;0.2296812896171634;1.9146031942883088;0.06127369218622226;—;↑
22.0;246;6.642393012079216;6.510475664056714;0.131917348022502;2.1859067184123426;0.029769407210276846;✅;↑
103.0;47;5.268058455798429;5.149309920175378;0.11874853562305088;1.7567848488146367;0.08560951151444049;—;↑
0.0;151;4.090354705783796;4.004067970445866;0.08628673533793041;1.3635464597909115;0.17475327148512598;—;↑
5.0;924;7.346636370000689;7.2803838426959535;0.06625252730473541;1.6115188784828194;0.10740854922877677;—;↑
188.0;54;11.644820628017335;11.589485760957452;0.05533486705988366;0.49488936256573846;0.6227236579545451;—;↑
155.0;216;10.725063904805822;10.67555351259883;0.04951039220699194;0.7716783149461829;0.44115230034093444;—;↑
8.0;215;7.983639838090765;7.945251527535683;0.03838831055508152;0.5052294414587793;0.6139176210827268;—;↑
15.0;570;5.6170457310604;5.592281857171284;0.02476387388911583;0.7173215173300622;0.47347009732083245;—;↑
2.0;1281;7.59323608505346;7.570321685534995;0.022914399518465522;0.9171605588261124;0.359231282693645;—;↑
154.0;1873;6.767097527891083;6.750314327910663;0.016783199980419994;0.7864882429540851;0.43168105140031976;—;↑
131.0;32;9.081883040902806;9.06607395101783;0.015809089884976757;0.077655947668411;0.9386008086138213;—;↑
146.0;465;6.036137346015807;6.023060815089824;0.013076530925983043;0.3029683638009061;0.7620497527229374;—;↑
94.0;32;9.332657398665873;9.333579648644527;-0.0009222499786538663;-0.005322018345594325;0.9957877654667614;—;↓
161.0;333;7.34739249341755;7.348836482014157;-0.0014439885966073263;-0.022807632425411943;0.9818174214013783;—;↓
6.0;1674;8.416768355885473;8.418736487283454;-0.001968131397980244;-0.08462082328247489;0.9325729683355176;—;↓
164.0;1808;7.523467677976218;7.529680369320238;-0.006212691344019916;-0.25269776521558096;0.8005305163904519;—;↓
80.0;676;10.690141066481365;10.697639900909511;-0.007498834428146139;-0.13951153470583524;0.8890875567058472;—;↓
87.0;269;10.288944110081921;10.307357648281265;-0.01841353819934355;-0.2825587451050231;0.7777332108848112;—;↓
152.0;108;11.676957288373025;11.700622440707523;-0.023665152334498174;-0.35101260907404847;0.7262690649505281;—;↓
58.0;137;8.138232227181847;8.167160998364471;-0.028928771182624047;-0.22721034214067728;0.8206013802837165;—;↓
149.0;580;6.168443133933176;6.19847492142172;-0.030031787488544737;-0.8679874693534373;0.385760799844419;—;↓
130.0;1311;7.2710995137394985;7.307831652228116;-0.03673213848861767;-1.1803161188075888;0.23808878355488214;—;↓
4.0;171;3.8769114890246876;3.921029025870186;-0.04411753684549824;-0.7589659531795517;0.44892395996914847;—;↓
70.0;30;8.480157300533294;8.526059992405273;-0.04590269187197826;-0.4872403660178195;0.6297508872554235;—;↓
84.0;955;7.1739034675858875;7.230243473009979;-0.0563400054240919;-1.5524221537343252;0.12089290620709987;—;↓
35.0;221;6.404822721084206;6.47123470304267;-0.06641198195846432;-0.6491210987700329;0.5169371765253595;—;↓
