feature;importance_mean;importance_std
Points (Total);17.14947520986945;0.16279442828887541
Rank;15.194815562556059;0.14906588212291372
Rank_rolling_mean_4w;12.663824867816118;0.1098365829670547
Points_rolling_mean_4w;10.893137814065913;0.12135822088810318
Points_last_week;5.291005935649206;0.043203184217616424
Rank_last_week;3.7587488710263415;0.03782092156469789
Weeks_on_chart;0.9825581858164794;0.02734237276986378
Valence;0.26043187928347855;0.01756570260254378
Rank_change;0.2312397075718339;0.007083988062243057
Artist_Hotness;0.17329303102982205;0.013770041085013354
Points_change;0.16456407358073707;0.012947302386252134
Danceability;0.1629314638760448;0.0165510780965787
Loudness_Corrected;0.08417394072684718;0.013349393818856525
Artist_Count;0.062409811224265255;0.008394403476372155
Acousticness;0.061500830927851524;0.00620049074968046
Nationality_Count;0.04502842383917205;0.012727826200096375
Energy;0.029377822395250063;0.00637871306872626
Instrumentalness;0.0048825272337527535;0.006140376375278705
Speechiness;-0.0297905328865097;0.01163622712889697
