feature;importance
Weeks_on_chart;6263
Points_rolling_mean_4w;3257
Rank_rolling_mean_4w;3255
Artist_Hotness;3240
Rank;2505
Points (Total);2324
Valence;2268
Danceability;2166
Rank_change;2161
Speechiness;2063
Loudness_Corrected;2061
Acousticness;1658
Energy;1525
Points_last_week;1217
Points_change;1188
Rank_last_week;989
Instrumentalness;443
Nationality_Count;311
Artist_Count;306
