feature;importance_mean;importance_std
Rank;22.795631774739096;0.13138518022259177
Points (Total);18.8364347051403;0.1102355875900684
Points_rolling_mean_4w;11.138093588474305;0.12682543702415017
Rank_rolling_mean_4w;7.170673010554441;0.09788146596534673
Rank_last_week;3.0577644142314346;0.048658076494187893
Points_last_week;2.160813290163859;0.0361705279656609
Weeks_on_chart;0.4820932980759636;0.015927491980955
Danceability;0.24168965143133522;0.018899983886802817
Valence;0.23528129935139946;0.021612265322883385
Points_change;0.17445669482911938;0.01828407186941914
Rank_change;0.14997332283614656;0.012743604452059687
Artist_Hotness;0.13610443971378833;0.015447079353928774
Loudness_Corrected;0.11918684473271365;0.009553025166484591
Acousticness;0.06791551490719332;0.009389435203300071
Artist_Count;0.05507043883742622;0.007658440354070849
Nationality_Count;0.029740640553928797;0.009581392116808467
Instrumentalness;0.020485051715710155;0.0067374710336122415
Energy;0.018386116784812855;0.00844710279420478
Speechiness;-0.030937185604222605;0.011206014429532406
