epoch;train_loss;val_loss
1;406.78830535347345;194.42143664931695
2;154.57479769964144;189.31530233572798
3;149.89763913926544;187.51294526300933
4;147.6909098465992;186.36932517980276
5;146.35950042626072;183.76905010875902
6;144.79674478654363;183.32014049319497
7;143.78702312390777;182.93290415005376
8;142.96606807609584;186.5581206320322
9;142.3466080738483;180.87307293303527
10;142.3191007364388;182.96428934523934
11;141.9368450169288;181.43331690699037
12;141.65680439951902;180.53903727398978
13;141.1028987054714;181.90045316038075
14;140.96599782869825;181.6758909403232
15;140.7203016690919;180.05991569248556
16;140.3575355833294;180.45524086241136
17;140.1778905877981;181.4827437188193
18;140.1628497424051;180.2587244684933
19;139.8152581972437;180.64804033577792
20;139.71963925176104;179.29800577749285
21;139.6382392853554;180.43403978445377
22;139.72607383529717;181.12891313764783
23;139.20638265076005;179.55036624551516
24;139.18179567713673;180.4042031827726
25;138.73459134230848;179.38090125963703
26;138.52933212121005;179.0742163909109
27;138.6111516071735;179.63882677945477
28;138.41527268830598;180.42265044736584
29;138.35953916103946;179.95511966839172
30;138.36490629399282;178.4812012750503
31;138.1061476257463;179.08804425022058
32;137.90468615012207;178.81769669265077
33;137.94040049860533;179.1979514708993
34;137.84265997233393;178.29280836819208
35;137.74988838780197;179.193822171953
36;137.58967482655376;178.36813474921456
37;137.46812533100578;178.29210737225605
38;137.366952771709;180.25807774136638
39;137.2151029452932;178.0248184970945
40;137.14650365283958;178.74986733679185
41;137.1647673373625;178.11754404627092
42;136.7849313501862;179.9539554091225
43;137.0020983217791;178.18786114558839
44;136.81556913736688;177.54736164996498
45;136.92583848254355;177.2035893292455
46;136.66900381787457;179.41837518257006
47;136.46086619845568;177.75335080790938
48;136.47581646144366;179.05468438661586
49;136.3920512756764;178.51732969423483
50;136.34986455759486;178.84649798535463
51;136.24069626911736;178.93077565773189
52;136.20817899181088;177.69413372089988
53;135.87296163537115;177.5898556493179
54;135.81762651931976;179.69241070677663
55;135.74044430527985;179.4474851199758
