epoch,train,val
0,22.563724206228333,10.54138019835678
1,11.764679909293566,10.4307328094598
2,11.678361450762951,10.35451266580211
3,11.601152260688046,10.170723938525487
4,11.529437908862146,10.189510167933152
5,11.49578015587542,10.113724847045559
6,11.42082614292102,11.427466192936894
7,11.392241650017816,10.160582917461552
8,11.358287243827235,10.401993262305254
9,11.349402737055946,10.070315847427809
10,11.306099428824428,10.4674951046802
11,11.295512403717897,10.03288644385828
12,11.276300223619593,10.100461391054473
13,11.272173050925797,10.218392829376093
14,11.232768798597814,10.335425371614374
15,11.257183618572952,10.215191396514827
16,11.231499742407067,10.03564036442003
17,11.201084115474012,10.142927511126462
18,11.191543075413714,10.146893658271656
19,11.216639684977416,10.030167082115641
20,11.177042863229142,10.093610834002881
21,11.175036224331018,10.290047188722141
22,11.154639849576851,10.939814617026071
23,11.143030086107723,10.081056870601888
24,11.147670634997178,10.219780266939129
25,11.13357355487854,10.182348512383292
26,11.139094648300903,10.187131151398951
27,11.089154851500417,10.51186811033182
28,11.1496632421836,10.191475177080264
29,11.117061085125497,10.028269957921147
30,11.125388397236069,10.3420863940554
31,11.086378552036953,10.578991163088377
32,11.089853431519925,10.10296446914779
33,11.063807380345185,10.018072455617444
34,11.100764302090445,9.971882076177923
35,11.069933809560604,10.41403147834109
36,11.029601161422677,10.394003119021262
37,11.080183773891898,10.156029513122162
38,11.046777551425174,10.431203459735116
39,11.019311752289365,10.257158333950423
40,11.031088628246996,9.968855735326517
41,11.016689038216706,9.959333312520657
42,11.020565569572165,9.980295783995402
43,11.017049936833047,10.189238663754631
44,11.012016925906776,10.083714173473666
45,11.012565430517334,9.948247097809691
46,10.976209923588977,10.03208967874621
47,11.015172390001009,10.479306587249312
48,10.957483958702142,10.001019212823321
49,10.959867955573142,10.100523880236041
50,10.970321773259345,10.20063494472825
51,10.980224103829638,10.50291696493326
52,10.907591091602413,9.92903124717421
53,10.949072164192293,9.986985471123687
54,10.935221646375515,10.352143754485882
55,10.94441944544891,10.043815680503993
56,10.92849840951177,9.92877225387887
57,10.927367910467726,9.945647409530194
58,10.917783029860335,9.953186020133927
59,10.898880456216887,10.13968777369819
60,10.935575306419135,9.967479312370136
61,10.870878573187587,10.098809655414039
62,10.898746367247867,9.998403815645249
63,10.907960109622136,9.966993284203351
64,10.886874119118556,10.07031563847156
65,10.890632115810352,9.985287031505996
66,10.867883921329051,9.932876965685962
