feature;importance
Points (Total);0.2952533508856564
Points_rolling_mean_4w;0.27674208372355186
Rank;0.2706632825776961
Rank_rolling_mean_4w;0.16247710568967863
Rank_last_week;0.06290099105928582
Points_last_week;0.02024684203796222
Weeks_on_chart;0.009560399252827756
Valence;0.004717494000688027
Danceability;0.0024831826897064313
Rank_change;0.002078681742680255
Nationality_Count;0.0016380854413833412
Artist_Hotness;0.0016129474891592554
Points_change;0.0016018389064771156
Acousticness;0.0014802045356712256
Artist_Count;0.001272955592089342
Energy;0.0011979340283362894
Loudness_Corrected;0.0010411658744036156
Instrumentalness;0.0006537532885504294
Speechiness;0.00021122300980230824
