feature;importance_mean;importance_std
Points (Total);21.688674762603117;0.13228518780916737
Rank;21.038061904026755;0.1334584127765715
Points_rolling_mean_4w;8.299726907237318;0.08913446964928878
Rank_rolling_mean_4w;6.463730203298281;0.0739166980598554
Rank_last_week;2.5058828000254834;0.03555114177096599
Points_last_week;1.2780492699425916;0.033143811358334774
Weeks_on_chart;0.4906578822939419;0.020092316183190448
Valence;0.27514819726200823;0.02421815613956688
Danceability;0.23033545452769566;0.01666687357906498
Rank_change;0.17656247020806007;0.01632007859336774
Points_change;0.14468877464204014;0.014669825602428762
Loudness_Corrected;0.09153411995311078;0.009870863758432121
Artist_Count;0.07798135614799354;0.009652344416086332
Acousticness;0.07584496567493204;0.011123674837349077
Nationality_Count;0.05712689808776954;0.00954283106048355
Artist_Hotness;0.045884757027533495;0.01706358765183769
Instrumentalness;0.033773290691523884;0.009448330260733412
Energy;0.02018876317734879;0.0072769087074401875
Speechiness;-0.03868949252711076;0.010549966597731046
