y_pred;ci_lower;ci_upper
99.34864;68.695595;130.00168
73.18662;42.533577;103.83967
141.2238;110.570755;171.87685
133.20782;102.55478;163.86087
167.32802;136.67497;197.98106
195.99963;165.34659;226.65268
41.93983;11.286787;72.59287
62.174583;31.52154;92.82763
125.41436;94.761314;156.0674
91.081436;60.42839;121.73448
96.47166;65.81861;127.1247
119.85872;89.20567;150.51176
64.30653;33.65349;94.95958
26.446032;-4.207012;57.099075
143.89252;113.23947;174.54556
169.55002;138.89697;200.20306
9.210718;-21.442326;39.86376
165.40201;134.74896;196.05505
194.40634;163.7533;225.05939
182.4529;151.79985;213.10594
40.041756;9.388712;70.6948
23.414642;-7.2384014;54.067688
43.834694;13.18165;74.48774
118.86601;88.21297;149.51906
152.07101;121.41797;182.72406
35.206448;4.553404;65.85949
52.623333;21.97029;83.276375
187.43631;156.78326;218.08936
85.78243;55.129387;116.43548
171.40514;140.75209;202.05818
161.65479;131.00174;192.30783
125.98564;95.332596;156.63869
173.49864;142.8456;204.15169
159.71219;129.05914;190.36523
155.98346;125.330414;186.6365
94.9582;64.30515;125.611244
141.34436;110.691315;171.9974
176.76907;146.11603;207.42212
87.04535;56.392303;117.698395
117.30021;86.64716;147.95325
127.05795;96.40491;157.711
97.36091;66.70786;128.01395
55.285492;24.632448;85.93854
130.09845;99.445404;160.7515
57.887566;27.234522;88.54061
155.53647;124.88342;186.18951
13.642361;-17.010683;44.295403
33.557384;2.9043407;64.21043
21.096018;-9.557026;51.74906
91.11914;60.466095;121.77219
129.82741;99.17436;160.48045
50.51753;19.864485;81.17057
93.664314;63.01127;124.31736
169.72473;139.07169;200.37778
150.28922;119.63617;180.94226
179.73912;149.08607;210.39217
97.511345;66.8583;128.16438
37.273376;6.6203327;67.92642
41.93812;11.285078;72.59116
94.12907;63.47602;124.78211
80.6047;49.951653;111.257744
104.13963;73.48659;134.79268
79.01561;48.362564;109.668655
57.88657;27.233526;88.53961
51.04317;20.390127;81.69621
30.02008;-0.6329632;60.673126
35.711002;5.0579586;66.364044
20.464079;-10.188965;51.117123
29.477541;-1.1755028;60.130585
17.273535;-13.379509;47.92658
40.952236;10.299192;71.60528
51.879242;21.226198;82.53229
144.89734;114.24429;175.55038
137.37637;106.72333;168.02942
86.81744;56.16439;117.47048
132.97263;102.31958;163.62567
182.33841;151.68536;212.99146
19.218653;-11.434391;49.871696
71.45819;40.805145;102.11124
183.38666;152.73361;214.0397
60.31677;29.663725;90.96981
161.75406;131.10101;192.4071
24.206797;-6.446247;54.85984
74.97178;44.318733;105.624825
186.52878;155.87573;217.18182
91.54763;60.894585;122.200676
54.860794;24.20775;85.51384
132.91187;102.25882;163.56491
145.76326;115.110214;176.4163
179.44724;148.79419;210.10028
110.66981;80.01676;141.32285
16.597935;-14.055109;47.250977
121.96461;91.31156;152.61765
133.29419;102.64114;163.94724
151.11911;120.466064;181.77216
78.07969;47.426643;108.732735
183.52562;152.87257;214.17867
115.4519;84.79885;146.10493
23.965267;-6.6877766;54.61831
21.11877;-9.534273;51.771812
19.090384;-11.56266;49.743427
59.096188;28.443144;89.74923
42.755787;12.102743;73.40883
34.55617;3.9031277;65.20921
167.45459;136.80154;198.10764
21.909517;-8.743526;52.56256
111.105286;80.45224;141.75833
51.062965;20.409922;81.71601
191.78052;161.12747;222.43356
78.18627;47.533226;108.83932
149.13135;118.4783;179.7844
33.951855;3.298811;64.6049
26.140781;-4.5122623;56.793823
184.68558;154.03253;215.33862
146.9332;116.28015;177.58624
54.166737;23.513693;84.81978
98.879585;68.22654;129.53262
68.07565;37.422607;98.7287
46.144085;15.491041;76.79713
191.95453;161.30148;222.60757
174.44022;143.78717;205.09326
88.74227;58.089226;119.39532
47.52084;16.867796;78.17388
8.373867;-22.279177;39.02691
107.10303;76.44998;137.75607
112.59118;81.93813;143.24422
191.18643;160.53339;221.83948
108.02189;77.36884;138.67493
194.43164;163.7786;225.08469
77.98234;47.329292;108.63538
74.3408;43.68775;104.99384
71.28401;40.630966;101.93706
10.493624;-20.15942;41.146667
70.08506;39.432014;100.738106
121.93937;91.28632;152.5924
108.86349;78.21044;139.51653
36.508408;5.855364;67.16145
176.8121;146.15906;207.46515
155.68962;125.036575;186.34267
107.21189;76.558846;137.86493
38.690533;8.037489;69.343575
25.581747;-5.0712967;56.23479
31.96325;1.3102055;62.616295
140.32394;109.6709;170.97699
166.86421;136.21117;197.51726
125.656784;95.00374;156.30983
86.06235;55.4093;116.71539
109.1215;78.46845;139.77454
146.05026;115.39722;176.70331
169.58061;138.92757;200.23366
28.696156;-1.9568882;59.349197
19.224102;-11.428942;49.877144
75.753136;45.10009;106.40618
75.576866;44.92382;106.22991
179.55717;148.90413;210.21022
112.59916;81.94611;143.2522
155.20374;124.55069;185.85678
62.52097;31.867926;93.17401
92.97248;62.319435;123.62553
145.65892;115.005875;176.31197
68.83578;38.18273;99.48882
24.75853;-5.894514;55.411575
26.195309;-4.457735;56.84835
159.05768;128.40463;189.71072
26.998404;-3.6546402;57.651447
141.58656;110.93352;172.23961
102.631035;71.97799;133.28407
66.68497;36.03192;97.33801
19.709425;-10.943619;50.36247
129.62952;98.97647;160.28256
113.83308;83.18003;144.48611
26.818228;-3.834816;57.47127
43.700783;13.047739;74.35383
