feature;importance
Weeks_on_chart;5629
Rank_change;4250
Rank;4245
Points (Total);3860
Points_rolling_mean_4w;3745
Rank_rolling_mean_4w;3711
Points_change;2890
Artist_Hotness;2769
Points_last_week;2651
Rank_last_week;2342
Valence;2326
Loudness_Corrected;2299
Danceability;1902
Acousticness;1885
Speechiness;1846
Energy;1754
Artist_Count;377
Instrumentalness;275
Nationality_Count;244
