Feature;Global_Importance;Hot Start_Importance;Hot Start_Entropy;True Cold Start_Importance;True Cold Start_Entropy;Warm Start_Importance;Warm Start_Entropy;Δ_Hot Start_Importance;Δ%_Hot Start_Importance;Δ_True Cold Start_Importance;Δ%_True Cold Start_Importance;Δ_Warm Start_Importance;Δ%_Warm Start_Importance;Max_Relative_Change_%
Speechiness;5.5076332947812115e-05;5.3295630482075304e-05;1.8126925912321252;0.00040862697807574343;1.62610078527935;-0.0003125259150556947;1.5228768253544724;-1.7807024657368108e-06;-3.233094942022873;0.00035355064512793133;641.9167853732753;-0.0003676022480035068;-667.4292822998965;667.4292822998965
Community_Size;3.5855727514733096e-05;-1.5429136833422506e-05;1.8126925912321252;0.000258547920655805;1.62610078527935;1.565693773929455e-05;1.5228768253544724;-5.12848643481556e-05;-143.02717482258598;0.0002226921931410719;621.0611190035967;-2.0198789775438545e-05;-56.33193873350296;621.0611190035967
Instrumentalness;4.897298434363151e-05;6.288369648083103e-05;1.8126925912321252;4.661102326364297e-05;1.62610078527935;-0.00017933941745187365;1.5228768253544724;1.3910712137199519e-05;28.404289182586066;-2.361961079988542e-06;-4.822889359819235;-0.00022831240179550517;-466.19119284542035;466.19119284542035
Loudness_Corrected;0.0002860274635325344;0.00013235630451623458;1.8126925912321252;0.001073447261091387;1.62610078527935;0.00011018160329016036;1.5228768253544724;-0.00015367115901629983;-53.72582753423085;0.0007874197975588525;275.29420947621435;-0.00017584586024237405;-61.47844800850471;275.29420947621435
Degree_Disparity;6.535344400074861e-05;7.13380216237236e-05;1.8126925912321252;0.00022698019813192083;1.62610078527935;-1.6287075173426757e-05;1.5228768253544724;5.984577622974993e-06;9.157108922702246;0.00016162675413117222;247.30797821387762;-8.164051917417537e-05;-124.91961399478848;247.30797821387762
Artist_Hotness;0.000633817606312681;0.0003823343702826332;1.8126925912321252;0.002195198647452534;1.62610078527935;0.0003254898469463918;1.5228768253544724;-0.0002514832360300478;-39.677477676631014;0.001561381041139853;246.34509394152727;-0.0003083277593662892;-48.64605682058223;246.34509394152727
Degree_Centrality_mean;0.00030069110317494375;0.0001975127262093368;1.8126925912321252;0.0009740511037505395;1.62610078527935;0.00039959938522168283;1.5228768253544724;-0.00010317837696560694;-34.313630413359206;0.0006733600005755958;223.936709167195;9.890828204673908e-05;32.893541600323935;223.936709167195
Nationality_Count;1.8718522993177444e-05;-1.8516998417816843e-06;1.8126925912321252;5.371529498646721e-05;1.62610078527935;3.409685555878505e-05;1.5228768253544724;-2.0570222834959128e-05;-109.88646902197345;3.4996771993289764e-05;186.95333212307153;1.5378332565607608e-05;82.15130573152119;186.95333212307153
Acousticness;0.00023370109579564646;0.00017581634526790956;1.8126925912321252;0.0006574821043475731;1.62610078527935;0.00014329201319120965;1.5228768253544724;-5.78847505277369e-05;-24.768605660409836;0.00042378100855192666;181.333850305942;-9.040908260443681e-05;-38.685610540477235;181.333850305942
Weeks_on_chart;0.0034497874826237675;0.0009159070625625376;1.8126925912321252;0.004748266335140483;1.62610078527935;0.009434797845750053;1.5228768253544724;-0.00253388042006123;-73.45031247057977;0.0012984788525167157;37.63937583585258;0.005985010363126286;173.489197765955;173.489197765955
Eigenvector_Centrality_max;0.00042621989853035557;0.00021955089308555164;1.8126925912321252;0.001079610375103468;1.62610078527935;0.0007012239040344425;1.5228768253544724;-0.00020666900544480393;-48.488707653100896;0.0006533904765731124;153.2985545349972;0.00027500400550408696;64.52147383019538;153.2985545349972
Cross_Community_Count;0.00048303148369087666;0.00043146733860481844;1.8126925912321252;0.0011764413712628042;1.62610078527935;-1.0874728770593477e-06;1.5228768253544724;-5.156414508605822e-05;-10.675088493439173;0.0006934098875719275;143.55346917324192;-0.000484118956567936;-100.22492749737192;143.55346917324192
Degree_Centrality_max;0.000662847992287241;0.0004984371842831515;1.8126925912321252;0.0016066347730913089;1.62610078527935;0.00028373956735727734;1.5228768253544724;-0.00016441080800408956;-24.803659644524775;0.0009437867808040678;142.3833771772688;-0.0003791084249299637;-57.19378460873931;142.3833771772688
Energy;0.00027692030275234815;0.00023900511380706702;1.8126925912321252;0.00039053995750442104;1.62610078527935;-1.2774471315424308e-06;1.5228768253544724;-3.7915188945281125e-05;-13.691683726906641;0.0001136196547520729;41.02958263694268;-0.0002781977498838906;-100.46094219507698;100.46094219507698
Danceability;0.0002760090397337156;0.00021024218469249955;1.8126925912321252;0.0005476529350585624;1.62610078527935;0.00010444031022766032;1.5228768253544724;-6.576685504121603e-05;-23.827703914200185;0.00027164389532484683;98.41812116215733;-0.00017156872950605526;-62.160322020017276;98.41812116215733
Points_change;0.0007678350599912398;0.0007498438691151632;1.8126925912321252;0.0011802080218531908;1.62610078527935;3.0755356371892086e-05;1.5228768253544724;-1.7991190876076525e-05;-2.3431031457785125;0.000412372961861951;53.70586031953953;-0.0007370797036193476;-95.99441105016051;95.99441105016051
Community_ID;0.00012843014789801766;0.00013164235901659272;1.8126925912321252;7.450341533999927e-05;1.62610078527935;0.0002475583803604908;1.5228768253544724;3.2122111185750645e-06;2.5011153222158855;-5.3926732558018395e-05;-41.98882704127163;0.00011912823246247316;92.75649592189926;92.75649592189926
Rank_rolling_mean_4w;0.054458465085745075;0.06391967986359814;1.8126925912321252;0.014507708839728416;1.62610078527935;0.014322732914297698;1.5228768253544724;0.00946121477785307;17.37326711140991;-0.039950756246016655;-73.36004687152595;-0.04013573217144738;-73.69971109405378;73.69971109405378
