Group;Samples;MAE;R2;Spearman
Hot Start;14035;6.927039318293598;0.9654413014920868;0.9815476414771408
Warm Start;1332;8.692317610147175;0.938641782942006;0.9759549480245868
True Cold Start;2241;10.790515215384989;0.9142504408988096;0.959526196799422
