feature;importance
Weeks_on_chart;4747
Rank;3669
Rank_change;3442
Points (Total);3439
Rank_rolling_mean_4w;3226
Points_rolling_mean_4w;3161
Points_change;2402
Points_last_week;2099
Artist_Hotness;2063
Rank_last_week;2005
Loudness_Corrected;1657
Valence;1627
Acousticness;1294
Danceability;1270
Speechiness;1241
Energy;1227
Artist_Count;264
Nationality_Count;201
Instrumentalness;166
