feature;importance_mean;importance_std
Rank;15.977708089922084;0.1569021649421183
Points_rolling_mean_4w;13.967379528170131;0.1396740360623872
Rank_rolling_mean_4w;13.500477811176333;0.10168971593151416
Points (Total);13.114782477441201;0.15466238096518692
Points_last_week;6.506948458223093;0.07285027254324286
Rank_last_week;1.8867176481878567;0.03288530618879639
Weeks_on_chart;1.0637104774601314;0.02231188938660344
Valence;0.36736861481440675;0.023592668524151084
Points_change;0.30537103295006884;0.016357542349487265
Danceability;0.26714056463054625;0.015172006524324324
Artist_Hotness;0.2593335016344486;0.015904541067549217
Artist_Count;0.16387846571409473;0.013396630544065452
Energy;0.05983303372090365;0.006321570520231554
Rank_change;0.05978253202694948;0.015711092281774336
Acousticness;0.05809992918009606;0.01637395590720677
Loudness_Corrected;0.05560399092290247;0.010092522324633079
Nationality_Count;0.02896869419176351;0.011468792433040694
Instrumentalness;0.009949019735250886;0.006263032815184001
Speechiness;-0.07792427884114339;0.01085786626599544
