iteration;train_RMSE;val_RMSE
0;54.873822388064475;55.01895124366307
1;52.49997652523972;52.66577560250435
2;50.258278940549246;50.44780566227117
3;48.13883778336857;48.35043420079453
4;46.142125950200985;46.38263049871559
5;44.25995143684358;44.531859602867904
6;42.492019182958785;42.79973752838272
7;40.8126126552234;41.15210953562912
8;39.24240244291145;39.61643390249439
9;37.75310480053014;38.159965194813125
10;36.356669835171154;36.798504026335884
11;35.046198703186704;35.52451334002102
12;33.82409112028714;34.343052638215106
13;32.67126712117386;33.23045629480112
14;31.601896492303144;32.20673896205237
15;30.590864692023935;31.2336833265641
16;29.64363877175293;30.327817046961364
17;28.758668630311107;29.481599455296696
18;27.9326859263089;28.697966102430776
19;27.16486696979892;27.969586971263606
20;26.4515346343057;27.296316611010838
21;25.787228355346958;26.670054286198585
22;25.172360718397815;26.09425962198873
23;24.605023301616313;25.571403394946223
24;24.079910525629405;25.085956700129714
25;23.589920092846974;24.63234637578733
26;23.137497557767958;24.2152919214257
27;22.718154540346916;23.83307024639606
28;22.332149170614432;23.485835057744954
29;21.976004460157352;23.16709518517762
30;21.64647334039425;22.87467381947789
31;21.34661669965624;22.609902794904468
32;21.072856925345256;22.372346321083096
33;20.816831553025565;22.147944619835297
34;20.58069667090909;21.94437821951603
35;20.365778078337897;21.757563116838263
36;20.16745211038529;21.587284605199308
37;19.984723872491337;21.433835723971526
38;19.815703119715398;21.297062658098156
39;19.66247525997695;21.166718001492733
40;19.522960218388896;21.052781492954015
41;19.394550438107483;20.949190382608506
42;19.276209699005626;20.853765356554007
43;19.166676989465664;20.765091827805836
44;19.065152828626207;20.684530854612014
45;18.97170443294892;20.610842261366177
46;18.886376600319878;20.542513414568905
47;18.804594156704294;20.48767603443442
48;18.731257376640187;20.43454757822932
49;18.662504614218367;20.38264381635356
50;18.597893987778747;20.336279375658098
51;18.54089399344204;20.29460065326352
52;18.485492831776348;20.2563860345851
53;18.435093504319298;20.221592758127123
54;18.38764656165149;20.188188952745435
55;18.344573188682123;20.15832292015367
56;18.302890674554497;20.131041821448623
57;18.264889548818697;20.105269124752702
58;18.228733038788246;20.080044336674916
59;18.195924424844222;20.056766731441083
60;18.165426363606997;20.034314166135648
61;18.134369949463807;20.014402461482476
62;18.107176071146046;19.996391512954414
63;18.07979263240836;19.980190537232115
64;18.057049887679284;19.965582141859045
65;18.033620705091085;19.953942014403935
66;18.011240899820653;19.93658282878023
67;17.990634325363974;19.92415383647972
68;17.97007596018119;19.91250921977077
69;17.951548409188064;19.901813051934603
70;17.931177150522288;19.891858006522895
71;17.915503138388615;19.882726024181377
72;17.898343952483955;19.873773736495124
73;17.88108130940538;19.866325095889785
74;17.86631336439222;19.85893840082811
75;17.853981113879076;19.850942690910752
76;17.837835299902498;19.845228725957345
77;17.823986764647852;19.839511915279623
78;17.811752935924748;19.83373883875616
79;17.799406068590812;19.829732104096184
80;17.78698162167246;19.82556784373782
81;17.774831861347252;19.81893119741612
82;17.762391416716795;19.812289323731022
83;17.750990846094968;19.806302761123355
84;17.740271291807357;19.800990139732534
85;17.730241747600136;19.795552814769326
86;17.717556781737375;19.789944967413298
87;17.706829536358942;19.78560687753611
88;17.698162223802292;19.781110768148267
89;17.68767567766154;19.775725765587858
90;17.678281310524614;19.772095011788284
91;17.669477826902426;19.76756933199848
92;17.66033322304048;19.761754757550424
93;17.652216761181396;19.756662136511036
94;17.64364976552555;19.75376671579196
95;17.634120332829248;19.74726629118455
96;17.626449853983132;19.74438637424717
97;17.619627045577396;19.742901337716262
98;17.612021150990092;19.73859693449439
99;17.60261285772104;19.73466739727533
100;17.594286937713054;19.730681570788306
101;17.583267240581208;19.725930948697243
102;17.573908582701982;19.723313484427745
103;17.56563471918132;19.719528198991945
104;17.559829004639226;19.71624996881309
105;17.552661397050095;19.71183889299048
106;17.546729573949666;19.710521115284216
107;17.538754207680796;19.703613117576893
108;17.53293053925046;19.698000851866063
109;17.524028071728708;19.694841134083703
110;17.51602182936213;19.6905467799574
111;17.51079852616307;19.688122933836873
112;17.503371442421646;19.68508922928364
113;17.499341075722466;19.68236230572954
114;17.491211010124214;19.67772947965303
115;17.483342865525696;19.67463669256269
116;17.477909401232278;19.670438387946064
117;17.471144872010086;19.66782685430196
118;17.463940866427826;19.664971019211283
119;17.453133526657687;19.665148386033405
120;17.447545100098544;19.66363738739811
121;17.440712369200615;19.66206270157054
122;17.434779480139035;19.66030745328412
123;17.43025366542015;19.65776179237547
124;17.424854657422017;19.654120149125117
125;17.417082905206644;19.65217822882899
126;17.412269300816174;19.652149153080853
127;17.40787197181322;19.650422703423406
128;17.402558443573618;19.648832418219325
129;17.39720497368831;19.645847786994306
130;17.391639340508018;19.642766949047665
131;17.386136439741602;19.639517729195855
132;17.38011612267615;19.636583817645757
133;17.372466886332074;19.6348966199938
134;17.368553579376677;19.634472827483307
135;17.362301058206317;19.635489550386538
136;17.352627486177628;19.63824056165691
137;17.34644608647581;19.63646075351263
138;17.3418398623612;19.634175742873516
139;17.335876798326584;19.63406478971328
140;17.33044472536868;19.63198869801621
141;17.326918888536238;19.63052123442092
142;17.320503493724996;19.62959946565732
143;17.315774260842346;19.62634139391859
