Group;Sample_Size;MAE;R2_Score;Spearman_Correlation
Hot Start (Old Song);17458;7.27524341849664;0.9616998865336492;0.9803746830015114
Warm Start (New Song, Established Artist);170;23.821281125989678;0.7161408752462687;0.8412595677048097
True Cold Start (New Song, New Artist);23;34.00892051161172;-0.019694132709170864;0.3637262280547962
