feature;importance
Rank;6366
Rank_change;5588
Weeks_on_chart;5455
Points_rolling_mean_4w;3903
Rank_last_week;3497
Rank_rolling_mean_4w;3473
Artist_Hotness;2723
Valence;2454
Loudness_Corrected;2274
Points (Total);2064
Danceability;1968
Acousticness;1806
Speechiness;1793
Energy;1723
Points_last_week;1695
Points_change;1337
Artist_Count;359
Instrumentalness;301
Nationality_Count;221
