Feature;Global_Importance;Hot Start_Importance;True Cold Start_Importance;Warm Start_Importance;Δ_Hot Start_Importance;Δ%_Hot Start_Importance;Δ_True Cold Start_Importance;Δ%_True Cold Start_Importance;Δ_Warm Start_Importance;Δ%_Warm Start_Importance;Max_Relative_Change_%
Speechiness;0.002838153495757112;0.005546128194740874;0.09922110980437893;-0.15698950180623683;0.0027079746989837616;95.41322373507285;0.09638295630862181;3395.972856752835;-0.15982765530199394;-5631.39376453705;5631.39376453705
Acousticness;-0.013938349781545512;0.03746927669545741;-0.12967196595681685;-0.25843004618091925;0.05140762647700292;-368.82149587953376;-0.11573361617527134;830.325155362044;-0.24449169639937374;1754.0936895127975;1754.0936895127975
Danceability;0.031901235342486345;0.058956017187913545;0.1256483504439565;-0.2533748806939471;0.0270547818454272;84.80794146963956;0.09374711510147016;293.8667144276692;-0.28527611603643344;-894.2478372115636;894.2478372115636
Loudness_Corrected;-0.017260738781784468;0.01599572059650889;-0.15529790603187976;-0.15032230576387917;0.03325645937829336;-192.67113491168047;-0.1380371672500953;799.7176539914077;-0.1330615669820947;770.8915381503373;799.7176539914077
Degree_Centrality_mean;0.02176621574837867;0.08648836930328763;-0.10915703390734066;-0.11956959243666176;0.06472215355490896;297.35141528318195;-0.13092324965571933;-601.497500319947;-0.14133580818504043;-649.3356646169037;649.3356646169037
Energy;0.025577345374854232;0.03673961232650136;-0.11814274174717809;-0.09647826787758618;0.011162266951647126;43.641223714360954;-0.14372008712203233;-561.9038230773125;-0.12205561325244041;-477.20201878501564;561.9038230773125
Degree_Disparity;0.013372988390170093;0.01599463616447494;0.0005692356564601653;-0.050529971201196844;0.002621647774304847;19.60405185269875;-0.012803752733709928;-95.74338511867371;-0.06390295959136694;-477.8509705417043;477.8509705417043
Valence;0.09049091509972307;0.10546581317227499;-0.16722721089951165;-0.022552905396526768;0.014974898072551923;16.54850974881196;-0.2577181259992347;-284.79999662642757;-0.11304382049624984;-124.92283796936363;284.79999662642757
Artist_Hotness;0.04682346386501557;0.06416605351825311;-0.08183303729287061;0.007242502362025505;0.01734258965323754;37.038245040672244;-0.12865650115788618;-274.76928828052763;-0.039580961502990064;-84.53232074366034;274.76928828052763
Degree_Centrality_max;0.056181884822866124;0.06407808818749139;-0.08076763070556581;-0.04264019655789042;0.007896203364625265;14.054713986499001;-0.13694951552843193;-243.76098011415138;-0.09882208138075654;-175.8966968327286;243.76098011415138
Nationality_Count;0.03895777681014856;0.08930158807054944;-0.03241606715261369;-0.044906804995299865;0.050343811260400884;129.2265988726037;-0.07137384396276225;-183.20820122386257;-0.08386458180544842;-215.27044538870382;215.27044538870382
