y_pred;ci_lower;ci_upper
92.21299;68.38984;116.03614
77.53336;53.710213;101.356514
142.46106;118.63791;166.28421
136.178;112.35484;160.00114
168.2872;144.46405;192.11035
197.16628;173.34312;220.98943
36.81267;12.989519;60.635826
69.550285;45.727135;93.373436
136.01816;112.19501;159.84131
95.86147;72.03832;119.68462
99.44288;75.61973;123.26603
118.48145;94.6583;142.30461
60.699368;36.876213;84.52252
33.94569;10.122538;57.768845
145.20007;121.37692;169.02322
171.86153;148.03838;195.68468
11.215669;-12.607484;35.038822
166.27551;142.45236;190.09866
194.72845;170.9053;218.5516
185.37643;161.55328;209.19958
44.037582;20.21443;67.86073
16.842009;-6.981144;40.66516
43.50481;19.681658;67.327965
117.61447;93.79132;141.43762
154.01852;130.19537;177.84167
36.06181;12.238657;59.884964
63.482296;39.65914;87.30545
188.50731;164.68416;212.33046
87.4547;63.631546;111.27785
173.60202;149.77887;197.42517
164.03531;140.21216;187.85846
128.30475;104.4816;152.1279
174.98607;151.16292;198.80922
161.85019;138.02704;185.67334
162.79343;138.97028;186.61658
93.99005;70.1669;117.8132
142.56464;118.741486;166.38779
178.67194;154.84879;202.49509
88.899445;65.076294;112.722595
120.82345;97.0003;144.6466
129.59915;105.776;153.4223
101.86366;78.04051;125.68681
60.534737;36.711586;84.35789
134.4231;110.599945;158.24625
55.4876;31.664446;79.31075
157.66205;133.8389;181.4852
10.709525;-13.113627;34.532677
27.568485;3.7453327;51.39164
18.672413;-5.1507397;42.495567
95.98709;72.16394;119.81024
132.7558;108.93265;156.57895
55.44945;31.626299;79.272606
113.13111;89.30796;136.95427
171.38417;147.56102;195.20732
152.88885;129.0657;176.712
180.08553;156.26237;203.90868
100.660164;76.83701;124.483315
45.61735;21.794199;69.440506
48.624493;24.80134;72.44765
94.74508;70.92193;118.56823
82.5744;58.75125;106.39755
103.54087;79.71772;127.36402
80.708565;56.885414;104.531715
61.928123;38.104973;85.751274
57.891407;34.068253;81.71456
28.799526;4.9763737;52.62268
37.238033;13.414881;61.061188
27.072834;3.2496815;50.89599
30.602434;6.7792816;54.425587
15.508468;-8.314685;39.33162
43.627647;19.804495;67.4508
57.495388;33.672234;81.31854
147.09445;123.2713;170.9176
138.37257;114.54942;162.19572
85.553406;61.730255;109.37656
134.52365;110.7005;158.3468
182.73279;158.90964;206.55594
11.78752;-12.035632;35.610672
79.287926;55.464775;103.11108
185.94472;162.12157;209.76787
65.24983;41.42668;89.07298
162.14896;138.3258;185.9721
27.203041;3.3798885;51.02619
76.85686;53.033707;100.68001
189.60376;165.78061;213.42691
93.79978;69.97663;117.62293
56.812817;32.989662;80.63597
135.66154;111.838394;159.4847
148.69788;124.874725;172.52103
184.19653;160.37338;208.01968
124.04746;100.22431;147.87062
16.65854;-7.164612;40.481693
124.129555;100.306404;147.95271
133.83737;110.01422;157.66052
165.5282;141.70505;189.35135
79.1361;55.31295;102.95925
183.5596;159.73645;207.38275
118.9275;95.10435;142.75066
31.730984;7.907831;55.55414
22.008545;-1.8146076;45.831696
14.101829;-9.721324;37.92498
65.44782;41.624672;89.27097
45.25461;21.431456;69.07776
28.479218;4.656065;52.30237
169.35135;145.5282;193.1745
20.23492;-3.588232;44.058075
113.36446;89.54131;137.18762
46.553844;22.730692;70.377
192.89316;169.07;216.71631
81.82692;58.00377;105.65007
151.77539;127.95224;175.59854
33.91319;10.090036;57.736343
28.851608;5.0284557;52.67476
186.656;162.83286;210.47916
148.50626;124.683105;172.3294
53.40971;29.586557;77.232864
104.51011;80.68696;128.33327
70.17843;46.355278;94.00158
53.89712;30.073969;77.720276
193.0686;169.24545;216.89175
175.29652;151.47337;199.11967
94.55549;70.73234;118.37864
49.959404;26.136251;73.782555
7.616106;-16.207047;31.439259
108.03169;84.20854;131.85484
113.82064;89.99749;137.6438
192.22943;168.40628;216.05258
110.31767;86.49452;134.14082
196.60263;172.77948;220.42578
88.01165;64.1885;111.8348
79.63238;55.809227;103.45553
74.250374;50.427223;98.073524
7.5951643;-16.22799;31.418316
67.71282;43.88967;91.53597
152.07245;128.2493;175.8956
124.482765;100.659615;148.30592
108.55596;84.73281;132.37912
39.05458;15.231428;62.87773
179.02063;155.19748;202.84378
154.68439;130.86124;178.50754
109.31582;85.49267;133.13898
40.138275;16.315123;63.961426
24.872295;1.0491428;48.69545
38.05052;14.227369;61.873672
142.32224;118.499084;166.14539
168.37325;144.5501;192.1964
125.87417;102.05102;149.69733
72.03025;48.2071;95.8534
112.06115;88.238;135.88431
145.23807;121.41492;169.06122
173.85349;150.03033;197.67664
30.534912;6.7117596;54.358063
22.887985;-0.9351673;46.711136
74.964165;51.141014;98.787315
84.24128;60.41813;108.06443
181.03757;157.21442;204.86072
120.00291;96.179756;143.82607
156.60849;132.78534;180.43164
52.11658;28.293428;75.939735
94.59591;70.77276;118.41906
144.35184;120.52869;168.17499
54.109337;30.286184;77.93249
21.849167;-1.9739857;45.672318
27.800909;3.9777565;51.62406
159.32999;135.50684;183.15314
40.43478;16.611628;64.257935
142.85268;119.029526;166.67583
110.91369;87.09054;134.73685
49.08482;25.261667;72.907974
14.553172;-9.26998;38.376324
130.67868;106.85553;154.50183
116.89327;93.07012;140.71643
25.48938;1.6662273;49.31253
41.322475;17.499323;65.14563
21.61748;-2.2056732;45.44063
20.783367;-3.0397854;44.60652
104.77294;80.94979;128.5961
138.40778;114.584625;162.23093
194.04509;170.22194;217.86824
155.88235;132.0592;179.7055
102.20838;78.38523;126.03153
80.4812;56.65805;104.30435
16.656445;-7.166708;40.4796
177.49173;153.66858;201.31488
56.46198;32.638824;80.28513
17.200285;-6.6228676;41.023438
122.48731;98.66416;146.31047
67.99511;44.17196;91.81826
61.53905;37.715897;85.362206
57.680996;33.85784;81.50415
72.54806;48.724907;96.37121
106.56283;82.73968;130.38599
160.61017;136.78702;184.43332
147.93741;124.11426;171.76056
133.39339;109.57024;157.21654
189.51129;165.68814;213.33444
90.0699;66.24675;113.89305
7.0965843;-16.726568;30.919737
23.040974;-0.7821789;46.86413
146.07863;122.25548;169.90178
175.78702;151.96387;199.61017
92.90226;69.07911;116.72541
14.645929;-9.177223;38.46908
22.954842;-0.8683109;46.777992
125.49288;101.66973;149.31604
49.339474;25.516321;73.16263
65.52088;41.69773;89.34403
137.53665;113.7135;161.3598
177.5463;153.72314;201.36945
90.99259;67.16944;114.81574
121.47689;97.65374;145.30005
194.7504;170.92725;218.57355
183.55655;159.7334;207.3797
65.76957;41.94642;89.59272
76.637505;52.814354;100.460655
42.29336;18.47021;66.116516
75.11817;51.29502;98.94132
193.0779;169.25475;216.90105
196.66101;172.83786;220.48416
124.64338;100.82023;148.46654
98.84301;75.01986;122.66616
149.97049;126.14734;173.79364
44.954205;21.131052;68.77736
141.78671;117.96356;165.60986
46.45892;22.635767;70.282074
17.404734;-6.418419;41.227886
28.419706;4.596554;52.24286
146.23691;122.41376;170.06006
165.3693;141.54614;189.19244
181.00603;157.18288;204.82918
40.2366;16.413446;64.05975
154.81894;130.99579;178.64209
149.3682;125.545044;173.19135
183.92215;160.099;207.7453
14.866769;-8.956384;38.689922
61.73514;37.911987;85.5583
22.744682;-1.0784702;46.567833
24.968922;1.1457691;48.792076
13.840515;-9.982637;37.663666
63.15658;39.333427;86.97974
171.81046;147.9873;195.6336
98.50126;74.67811;122.32441
79.85606;56.032906;103.67921
155.8504;132.02725;179.67355
134.60292;110.77977;158.42607
11.913031;-11.910122;35.736183
79.31939;55.49624;103.14254
19.59035;-4.2328033;43.4135
66.11937;42.29622;89.94252
101.33149;77.50834;125.15464
79.391304;55.568153;103.214455
134.12312;110.29997;157.94627
111.211876;87.388725;135.03503
133.65932;109.83617;157.48247
17.35438;-6.468773;41.177532
36.75215;12.928999;60.575302
74.03739;50.21424;97.86054
100.5884;76.76525;124.41155
108.9499;85.12675;132.77306
72.01913;48.195976;95.84228
160.57037;136.74722;184.39352
143.47345;119.6503;167.2966
40.791927;16.968775;64.61508
192.21786;168.39471;216.04102
140.24107;116.41792;164.06422
34.071903;10.248751;57.895058
36.999966;13.176813;60.82312
179.3898;155.56665;203.21295
112.09019;88.26704;135.91335
183.16074;159.33759;206.98389
73.26255;49.4394;97.0857
179.50974;155.68658;203.33289
36.649166;12.826014;60.47232
129.44366;105.620514;153.26682
145.06879;121.245636;168.89194
121.805885;97.982735;145.62904
76.43622;52.613068;100.25937
113.96644;90.14329;137.7896
24.549202;0.7260494;48.372353
137.2177;113.39455;161.04085
119.759125;95.935974;143.58228
39.370052;15.5469;63.193207
50.590775;26.767622;74.413925
22.581219;-1.2419338;46.404373
185.3015;161.47835;209.12465
175.10524;151.28209;198.92839
116.55666;92.73351;140.37982
11.272;-12.551152;35.095154
169.43231;145.60916;193.25546
192.9011;169.07794;216.72424
70.50424;46.68109;94.32739
55.55887;31.735716;79.38202
23.855242;0.032089233;47.678394
11.000451;-12.822701;34.823605
59.670444;35.84729;83.4936
27.729969;3.9068165;51.553123
71.56307;47.73992;95.38622
52.543674;28.720522;76.36683
35.501587;11.678434;59.324738
159.62183;135.79868;183.44498
9.7825365;-14.040616;33.60569
163.64171;139.81856;187.46486
81.93537;58.11222;105.75852
152.35811;128.53496;176.18126
148.03796;124.21481;171.86111
45.094166;21.271013;68.91732
