epoch;train_loss;val_loss
1;384.68496549233095;193.54188349930166
2;154.90408663021134;189.07180793870958
3;150.7671525568029;187.15451413950726
4;148.49098004094864;185.73633274732276
5;146.8828431029448;183.65256211353324
6;145.50392736934276;183.00336135584013
7;144.4292903867921;185.77211046637152
8;143.56333102681054;187.97044067564067
9;143.02818192514607;182.56824989625585
10;142.5897472759777;180.89468228154712
11;142.10540309303636;183.16116665469275
12;141.8430245747836;181.38663725685655
13;141.4049024579585;179.6705735726663
14;141.3666618953101;178.8020220660327
15;140.9290383494401;180.85597513781653
16;140.6654413152928;180.44383452022285
17;140.46222534192083;180.43714212952997
18;140.31778028716062;179.9939518180507
19;140.42050265599667;181.48499272371592
20;140.0325176575058;179.98927201165094
21;139.6245513532098;178.89513685863616
22;139.5267987966673;180.20640496482625
23;139.64095870885538;182.0504719350073
24;139.44981452865048;178.41716628116473
25;139.04887522997316;179.47188907548002
26;139.04744453010315;178.62587202431862
27;139.05358631641275;178.33981459670596
28;138.60843036091694;180.7281671344188
29;138.41233605992232;179.37938045758253
30;138.38626264942891;177.86290199993647
31;138.05944000778962;177.99719071283675
32;138.22046839771608;178.65398652581445
33;138.10942590425486;179.71237074422558
34;137.63900280804418;179.5762745783343
35;137.76102142289054;177.698571675005
36;137.78907681379084;178.31611156184772
37;137.55871939610702;179.18809345451712
38;137.42414193156867;177.3943190002999
39;137.15432930325775;178.81960993203504
40;137.2103663018383;178.65867992033037
41;136.83085977602195;181.03522545064402
42;137.01060629561064;177.93370434415272
43;136.83634491290601;178.65559602550596
44;136.75949519151754;178.84177770461255
45;136.62288695572354;178.10748397118863
46;136.7538742136388;179.12550188784013
47;136.82127916391678;178.51499743350067
48;136.2870414717774;177.25930238258073
49;136.48622737605956;179.47037537404668
50;136.28320871148176;178.58362447936634
51;136.2210420313843;176.87785770879154
52;136.3859475155712;177.17622198277746
53;136.25997997986082;178.84548452513957
54;136.03587941834468;177.41314340125749
55;135.89032337537935;178.53875812870717
56;136.03583239370295;177.99926383662643
57;135.71786278952496;179.07971955739964
58;135.99747636720832;177.64234912012054
59;135.71355228069282;177.26081841138372
60;135.77421064890424;180.19860094750834
