y_pred;ci_lower;ci_upper
107.48665;76.86265;138.11066
71.18381;40.559807;101.80781
145.78088;115.15688;176.40488
133.0332;102.4092;163.6572
169.43414;138.81015;200.05814
201.64717;171.02316;232.27118
41.800694;11.176693;72.4247
64.63751;34.01351;95.26151
119.401505;88.777504;150.02551
93.48445;62.86045;124.10845
97.1776;66.5536;127.8016
121.26851;90.64451;151.89252
64.54716;33.923157;95.17116
27.4527;-3.171301;58.0767
147.37506;116.75106;177.99905
174.16895;143.54495;204.79294
8.911227;-21.712772;39.53523
168.84186;138.21786;199.46585
198.3715;167.7475;228.99551
189.66937;159.04538;220.29337
40.033825;9.409824;70.65782
24.185122;-6.438879;54.80912
42.057194;11.433193;72.6812
118.420166;87.796165;149.04416
153.13602;122.51202;183.76001
38.609783;7.9857826;69.23378
55.247227;24.623226;85.87123
189.12738;158.50339;219.75137
93.9262;63.3022;124.5502
174.11888;143.49487;204.74289
166.3198;135.6958;196.94379
125.82185;95.19785;156.44586
175.42902;144.80502;206.05301
163.43391;132.8099;194.05792
153.44667;122.82267;184.07068
91.18312;60.55912;121.80712
141.995;111.370995;172.61899
182.3342;151.7102;212.95819
88.707756;58.083755;119.33176
114.808;84.184;145.432
129.99663;99.37263;160.62064
99.137184;68.51318;129.76118
54.433353;23.809353;85.05736
130.51004;99.88604;161.13403
50.96209;20.338089;81.58609
158.79832;128.17432;189.42233
12.992389;-17.63161;43.61639
34.4967;3.8726997;65.1207
19.761261;-10.86274;50.38526
90.31528;59.691277;120.93928
132.88042;102.25642;163.50443
47.824844;17.200844;78.448845
92.856094;62.232094;123.480095
172.22139;141.59738;202.8454
153.62854;123.00454;184.25253
183.19879;152.5748;213.82278
96.62586;66.00186;127.24986
38.526844;7.9028435;69.15085
44.25449;13.630489;74.878494
95.72236;65.09836;126.34636
81.425644;50.801643;112.049644
99.345184;68.72118;129.96918
75.41877;44.79477;106.04277
55.804863;25.180862;86.42886
52.5086;21.884598;83.1326
27.280384;-3.3436165;57.904385
33.262733;2.638733;63.886734
21.199507;-9.424494;51.82351
31.782204;1.1582031;62.406204
20.498884;-10.125116;51.122887
35.691463;5.067463;66.31546
52.26496;21.64096;82.88896
149.01697;118.39297;179.64096
136.20401;105.58001;166.828
87.90758;57.283577;118.53158
136.4176;105.7936;167.0416
183.40562;152.78162;214.02963
18.247694;-12.376307;48.871696
69.87105;39.247047;100.49505
188.04745;157.42346;218.67145
61.226;30.602001;91.850006
164.32655;133.70255;194.95056
23.894632;-6.729368;54.51863
76.95507;46.33107;107.57907
192.2653;161.6413;222.88931
90.6593;60.0353;121.2833
55.90755;25.28355;86.531555
135.08917;104.46517;165.71317
150.43578;119.811775;181.05978
182.02313;151.39914;212.64713
106.96796;76.343956;137.59195
15.976766;-14.647235;46.600765
119.41289;88.78889;150.0369
135.4814;104.8574;166.10541
159.03467;128.41068;189.65866
75.674065;45.050064;106.298065
185.99586;155.37186;216.61987
116.18196;85.55796;146.80597
27.190104;-3.433897;57.814102
20.64342;-9.980581;51.267418
16.138403;-14.485598;46.762405
59.24244;28.618439;89.86644
41.53399;10.909988;72.15799
37.926197;7.3021965;68.5502
170.94458;140.32059;201.56857
21.524431;-9.099569;52.14843
112.95845;82.33445;143.58246
49.496304;18.872303;80.1203
195.41782;164.79382;226.04181
78.918686;48.294685;109.54269
153.59027;122.96627;184.21426
33.03867;2.414669;63.66267
25.852922;-4.771078;56.47692
188.85693;158.23294;219.48093
147.93613;117.312126;178.56012
53.500874;22.876873;84.12488
103.60545;72.98145;134.22946
66.586975;35.962975;97.210976
50.244854;19.620853;80.86885
193.1427;162.5187;223.7667
176.90425;146.28024;207.52826
87.378174;56.754173;118.002174
46.46418;15.840179;77.08818
11.284791;-19.33921;41.90879
109.85249;79.22849;140.4765
112.00775;81.38375;142.63174
193.90256;163.27856;224.52655
107.82748;77.203476;138.45148
198.33293;167.70892;228.95694
74.666245;44.042244;105.290245
72.57986;41.955856;103.20386
67.73925;37.11525;98.36325
10.842389;-19.781612;41.46639
69.12997;38.505966;99.75397
123.01796;92.39396;153.64197
107.02231;76.39831;137.6463
36.7248;6.1007996;67.3488
181.23688;150.61288;211.86087
158.57373;127.94973;189.19772
104.815796;74.191795;135.43979
38.507694;7.8836937;69.1317
26.204453;-4.419548;56.828453
31.322323;0.6983223;61.946323
141.07399;110.44999;171.698
171.3825;140.75851;202.0065
128.07573;97.45173;158.69974
75.67732;45.05332;106.30132
108.220085;77.596085;138.84409
144.78653;114.16253;175.41052
174.32391;143.69992;204.9479
28.393295;-2.2307053;59.017296
19.009775;-11.614225;49.633774
73.60358;42.979576;104.22758
72.03909;41.415092;102.66309
183.62726;153.00327;214.25125
112.17601;81.55201;142.80002
159.096;128.47198;189.72
72.2666;41.6426;102.8906
95.20138;64.57738;125.82538
144.80392;114.179924;175.42792
66.56091;35.936913;97.18491
22.85249;-7.771511;53.47649
27.519602;-3.1043987;58.1436
159.71982;129.09583;190.34381
30.92356;0.29955864;61.54756
144.1435;113.51949;174.76749
102.49783;71.87383;133.12183
72.89868;42.27468;103.52268
22.932402;-7.691599;53.556404
128.58192;97.957924;159.20593
112.733826;82.109825;143.35782
28.106012;-2.5179882;58.73001
39.916286;9.292286;70.54028
34.431183;3.8071823;65.05518
20.211107;-10.412893;50.835106
97.33363;66.70963;127.957634
144.99869;114.37469;175.62268
197.2832;166.65921;227.9072
158.56848;127.94448;189.19247
105.103966;74.479965;135.72797
74.49922;43.87522;105.12322
13.449389;-17.17461;44.07339
178.19458;147.57059;208.81857
56.800587;26.176586;87.42459
14.678009;-15.9459915;45.30201
123.96441;93.34041;154.58841
57.206936;26.582935;87.83093
69.64177;39.01777;100.26577
49.75513;19.13113;80.379135
67.52041;36.896408;98.14441
116.92412;86.30012;147.54813
162.52054;131.89655;193.14453
146.96811;116.34411;177.5921
134.7332;104.1092;165.35721
192.46246;161.83847;223.08646
82.44277;51.81877;113.06677
9.190408;-21.433594;39.814407
22.473585;-8.150415;53.097588
147.82436;117.200356;178.44836
176.54126;145.91727;207.16525
84.91636;54.29236;115.54036
39.013786;8.389786;69.63779
112.70494;82.08094;143.32895
46.89107;16.26707;77.515076
58.591328;27.967327;89.21533
124.84903;94.22503;155.47302
178.44672;147.82272;209.07071
89.34546;58.72146;119.96946
124.51033;93.88633;155.13434
198.48615;167.86215;229.11014
186.00641;155.38242;216.6304
68.42648;37.802483;99.05048
71.817856;41.193855;102.44186
39.29281;8.668808;69.91681
76.49804;45.87404;107.12204
193.23737;162.61337;223.86136
198.48312;167.85913;229.10712
120.656105;90.032104;151.2801
94.525154;63.901154;125.149155
148.72986;118.10586;179.35385
40.77477;10.150768;71.39877
143.99283;113.36883;174.61682
45.51994;14.895939;76.143936
18.638872;-11.985128;49.26287
26.833555;-3.7904453;57.457558
146.09972;115.475716;176.72372
160.61784;129.99384;191.24185
183.85626;153.23227;214.48026
38.56387;7.939869;69.18787
155.63783;125.01383;186.26184
147.4642;116.8402;178.0882
184.28879;153.6648;214.91278
11.711324;-18.912678;42.335323
58.58338;27.959381;89.20738
21.233881;-9.39012;51.85788
20.076242;-10.547758;50.70024
18.277065;-12.346935;48.901066
62.559494;31.935493;93.183495
174.07623;143.45224;204.70023
93.08676;62.46276;123.71076
78.74492;48.12092;109.36892
157.72882;127.10482;188.35281
130.8235;100.1995;161.44751
15.345611;-15.27839;45.969612
72.84371;42.21971;103.46771
18.692448;-11.931553;49.31645
59.16011;28.53611;89.78411
103.50347;72.87947;134.12747
74.80101;44.17701;105.42501
135.77452;105.15052;166.39853
108.3488;77.7248;138.97281
134.93098;104.306984;165.555
15.36295;-15.26105;45.98695
62.561245;31.937244;93.18524
76.29994;45.67594;106.92394
98.501495;67.877495;129.12549
108.21918;77.59518;138.84317
68.396286;37.772285;99.02029
161.21147;130.58746;191.83548
142.81602;112.192024;173.44003
35.982716;5.358715;66.60672
193.88077;163.25677;224.50476
142.07372;111.449715;172.69772
30.348871;-0.27512932;60.97287
30.915892;0.2918911;61.539894
182.26944;151.64545;212.89343
108.43042;77.80642;139.05441
181.6873;151.0633;212.31131
74.03648;43.412483;104.660484
182.02469;151.4007;212.64868
30.160486;-0.46351433;60.784485
128.21077;97.58677;158.83478
149.41072;118.78672;180.03473
117.971115;87.347115;148.59512
77.176346;46.552345;107.80035
109.49575;78.87175;140.11975
23.910074;-6.7139263;54.534073
135.84167;105.217674;166.46567
118.506836;87.882835;149.13083
34.059658;3.4356575;64.683655
39.017952;8.393951;69.64195
34.175396;3.5513954;64.79939
189.72025;159.09625;220.34424
174.69516;144.07117;205.31915
113.73659;83.11259;144.3606
12.726675;-17.897326;43.350677
171.16516;140.54117;201.78915
195.41644;164.79245;226.04044
71.713066;41.089066;102.33707
49.903885;19.279884;80.527885
17.815298;-12.808702;48.4393
13.186737;-17.437263;43.810738
52.35548;21.73148;82.97948
27.564009;-3.0599918;58.18801
67.20758;36.58358;97.83158
47.57577;16.95177;78.19977
34.549343;3.9253426;65.17334
160.41562;129.79163;191.03961
10.092395;-20.531605;40.716396
167.11832;136.49432;197.74231
76.033806;45.409805;106.65781
152.37901;121.75501;183.00302
149.9172;119.293205;180.5412
43.4831;12.8591;74.1071
68.76212;38.138123;99.38612
41.51961;10.895611;72.143616
100.839775;70.215775;131.46378
192.27008;161.64609;222.89407
9.831593;-20.792408;40.455593
144.84238;114.218376;175.46637
188.47482;157.85083;219.09882
168.82446;138.20047;199.44846
99.68104;69.05704;130.30504
74.052246;43.428246;104.67625
169.63477;139.01077;200.25876
26.999735;-3.6242657;57.623734
140.12756;109.50356;170.75156
59.01656;28.39256;89.640564
62.12645;31.502449;92.75045
112.01453;81.390526;142.63852
141.40704;110.78304;172.03104
91.49951;60.87551;122.12351
48.392067;17.768066;79.01607
45.32537;14.70137;75.94937
189.0964;158.47241;219.7204
164.70633;134.08234;195.33032
101.0721;70.4481;131.6961
26.115551;-4.5084496;56.73955
88.3232;57.699196;118.9472
117.36648;86.74248;147.99048
128.78603;98.162025;159.41003
67.85903;37.23503;98.48303
174.52536;143.90137;205.14935
36.535366;5.9113655;67.15936
72.86942;42.245422;103.49342
167.75015;137.12616;198.37415
98.96339;68.339386;129.58739
74.11566;43.49166;104.73966
58.99962;28.375618;89.62362
123.0873;92.4633;153.7113
23.261625;-7.3623753;53.885628
109.83439;79.21039;140.45839
10.927705;-19.696297;41.551704
133.39893;102.774925;164.02292
16.887375;-13.736626;47.511375
50.307167;19.683167;80.93117
96.65282;66.02882;127.27682
82.15969;51.53569;112.78369
133.91977;103.29577;164.54376
182.51593;151.89194;213.13992
192.60828;161.98428;223.23227
40.99536;10.371361;71.61936
134.81084;104.18684;165.43484
52.685867;22.061867;83.30987
155.1619;124.537895;185.78589
163.2785;132.65451;193.9025
98.93331;68.30931;129.55731
93.34213;62.718132;123.96613
20.291475;-10.332525;50.915474
147.83755;117.213554;178.46155
71.506714;40.882713;102.130714
113.13739;82.51339;143.76138
33.670082;3.0460815;64.29408
201.64462;171.02063;232.26862
25.130651;-5.493349;55.754654
44.802116;14.178116;75.42612
49.27887;18.65487;79.90287
159.90991;129.28592;190.5339
55.164875;24.540874;85.78888
129.57211;98.94811;160.1961
79.76478;49.140778;110.38878
102.90561;72.28161;133.5296
30.052092;-0.57190895;60.676094
23.879843;-6.744158;54.503845
189.10626;158.48227;219.73026
43.19105;12.567051;73.81505
51.489967;20.865967;82.11397
172.62332;141.99933;203.24731
102.60029;71.97629;133.22429
157.74489;127.12089;188.3689
104.05671;73.43271;134.68071
167.58789;136.9639;198.21188
176.58975;145.96576;207.21375
116.21089;85.58689;146.8349
197.05643;166.43243;227.68042
113.77288;83.14888;144.39688
97.91214;67.28814;128.53613
118.71992;88.09592;149.34392
15.658819;-14.965181;46.28282
29.455446;-1.1685543;60.079445
90.97043;60.346428;121.59443
120.63458;90.01058;151.25858
153.76233;123.13833;184.38632
122.72731;92.10331;153.35132
136.64828;106.024284;167.27228
160.65302;130.02902;191.27701
71.95736;41.33336;102.58136
14.518715;-16.105286;45.142715
62.03616;31.412159;92.66016
112.91734;82.29334;143.54135
182.34415;151.72015;212.96814
147.07675;116.45275;177.70074
106.056366;75.432365;136.68036
182.53662;151.91263;213.16061
51.2665;20.642498;81.8905
62.184513;31.560513;92.80852
73.02146;42.39746;103.64546
116.58046;85.95646;147.20447
166.94583;136.32184;197.56982
71.243286;40.619286;101.86729
201.62466;171.00067;232.24866
47.654526;17.030525;78.27853
42.81293;12.1889305;73.436935
148.46808;117.84408;179.09207
50.287678;19.663677;80.91168
147.3042;116.6802;177.92819
84.26264;53.63864;114.88664
61.073586;30.449585;91.697586
49.384617;18.760616;80.00862
67.23685;36.612846;97.86085
29.219107;-1.4048939;59.84311
88.564026;57.940025;119.18803
175.53513;144.91113;206.15912
145.97876;115.35476;176.60275
134.7201;104.09609;165.34409
84.52028;53.89628;115.14428
60.97833;30.354328;91.602325
181.61232;150.98831;212.23633
164.90997;134.28598;195.53397
30.349361;-0.27463913;60.973362
192.60211;161.97812;223.2261
133.11641;102.49241;163.74042
15.853352;-14.770649;46.477352
24.155802;-6.468199;54.7798
52.626778;22.002777;83.25078
60.705357;30.081356;91.32936
145.70331;115.07931;176.3273
73.77933;43.155327;104.40333
29.211954;-1.4120464;59.835953
33.00318;2.379181;63.627182
177.29395;146.66995;207.91794
35.356476;4.7324753;65.98048
92.28073;61.65673;122.90473
33.16518;2.5411797;63.78918
117.74251;87.11851;148.36652
80.42459;49.80059;111.04859
197.85336;167.22937;228.47736
19.68416;-10.93984;50.30816
98.09443;67.47043;128.71843
144.46338;113.83938;175.08737
96.456955;65.832954;127.080956
139.88211;109.25811;170.5061
43.897907;13.273907;74.52191
104.316765;73.692764;134.94077
39.413128;8.789127;70.037125
32.22073;1.5967293;62.84473
146.71863;116.09463;177.34262
78.34604;47.72204;108.97004
103.7376;73.1136;134.3616
37.381886;6.757885;68.00589
43.341553;12.717552;73.96555
189.4282;158.8042;220.05222
