feature;importance
Rank;31.02390547797785
Points (Total);21.846497937755007
Points_rolling_mean_4w;10.995763187250189
Weeks_on_chart;8.704463594588725
Rank_last_week;6.451104775654365
Rank_rolling_mean_4w;6.079547896204761
Rank_change;2.6433433133505844
Points_change;2.48207274257826
Artist_Hotness;1.8581718087058516
Valence;1.5718851294650888
Danceability;1.230457106675418
Loudness_Corrected;1.1351030607937629
Acousticness;1.1278205000196273
Speechiness;0.921697118839689
Points_last_week;0.6731035210604353
Energy;0.6522228955643995
Artist_Count;0.33755640817462185
Nationality_Count;0.15738465921363154
Instrumentalness;0.10789886612772503
