Artist;Degree_Centrality;Betweenness_Centrality;Closeness_Centrality;Eigenvector_Centrality;Community_ID
Rafa Pabön;0.008974358974358974;0.0001757263265194564;0.1638066963674791;0.08101225518190074;80
Brytiago;0.008974358974358974;0.0005911561679345321;0.17665701916927667;0.09194786436034333;6
Alan Walker;0.008974358974358974;0.00872042403508329;0.16819526627218934;0.011095631561834435;161
French Montana;0.008974358974358974;0.01074117919366099;0.18634991610593138;0.006531130106359809;164
2 Chainz;0.008333333333333333;0.0037959421220549144;0.1777177947508207;0.0038195376115743944;2
MACHETE;0.008333333333333333;0.00793647856669024;0.11397305417729019;9.86882281134206e-06;141
Don Toliver;0.008333333333333333;0.002564359408184282;0.18213144547759932;0.005491131797215773;5
Ufo361;0.008333333333333333;0.033752217498306605;0.17968301754620053;0.0023283321434403995;22
Dua Lipa;0.008333333333333333;0.023428084134914907;0.2007505031305903;0.028395429479555045;154
XXXTENTACION;0.008333333333333333;0.008221983374440935;0.16734613831241454;0.0009664983106110848;130
Ed Sheeran;0.008333333333333333;0.010361716887695986;0.19954203634073606;0.016269486225484728;5
ROSALÍA;0.008333333333333333;0.003957297464506034;0.20128687804786904;0.09090176796163005;6
Bonez MC;0.008333333333333333;0.01144813381057351;0.14523275095041657;0.0001398731855147129;22
Dímelo Flow;0.008333333333333333;3.0758466546658524e-05;0.1638066963674791;0.07790071477780466;80
Lil Yachty;0.008333333333333333;0.0037395989849619217;0.17906181437404428;0.004641084903772177;5
BTS;0.008333333333333333;0.009300710625781463;0.18313769655758608;0.0025185158814556956;8
Cosculluela;0.007692307692307693;0.001083715712524369;0.1665724777734828;0.06974256030401844;6
Sia;0.007692307692307693;0.011953783767019804;0.18444203804208253;0.020446897051848704;161
Shakira;0.007692307692307693;0.004368969788787654;0.18321867718838755;0.06282539611217199;80
Eminem;0.007692307692307693;0.007925733592171351;0.17787037495665955;0.0028870624256885527;58
A$AP Rocky;0.007692307692307693;0.004470042891072864;0.18145348739283487;0.005690677781443889;6
Beéle;0.007692307692307693;0.0006113724687636892;0.17175089677162214;0.06372632430171411;80
Zion;0.007692307692307693;0.00021577255046086686;0.1751634066630896;0.09357944750522855;80
Yandel;0.007692307692307693;0.0010600181119163538;0.17764160277022012;0.08626491670035881;6
Beyoncé;0.007692307692307693;0.0037014541740867306;0.1572183792303314;0.0006755847128557301;154
KHEA;0.007692307692307693;0.0005844157414295347;0.17358568850504333;0.05785812751941259;80
Offset;0.007692307692307693;0.0021072759335737995;0.1810174916826293;0.005788512921359965;5
Nicki Nicole;0.007051282051282051;0.0011749901177172729;0.16429382968340145;0.02929570379421539;87
SCH;0.007051282051282051;0.011136456678585855;0.15547806321258478;0.000982514239609386;126
