feature;importance
Weeks_on_chart;4112
Artist_Hotness;2876
Points_rolling_mean_4w;2753
Rank_rolling_mean_4w;2404
Valence;2265
Loudness_Corrected;2214
Speechiness;2181
Danceability;2172
Rank;1890
Rank_change;1838
Energy;1810
Points (Total);1805
Acousticness;1741
Points_last_week;1231
Points_change;1119
Rank_last_week;981
Instrumentalness;524
Artist_Count;342
Nationality_Count;242
